owner,split,target,n_train,n_test,rmse,r2
R. Poppiel / Dematte,67_33,Clay_gkg,529,275,88.77245700536159,0.585173470687861
R. Poppiel / Dematte,80_20,Clay_gkg,638,166,91.31016381208515,0.5637574475551164
R. Poppiel / Dematte,50_50,Clay_gkg,395,409,92.35019256457814,0.5601863230561319
R. Poppiel / Dematte,75_25,Clay_gkg,602,202,95.74078420058301,0.5674428891730108
R. Poppiel / Dematte,87_13,Clay_gkg,698,106,97.81788618309156,0.6062639701269819
R. Poppiel / Dematte,67_33,Sand_gkg,529,275,130.30700016218697,0.6004505403223921
R. Poppiel / Dematte,50_50,Sand_gkg,395,409,131.70006287154905,0.6068553127589773
R. Poppiel / Dematte,80_20,Sand_gkg,638,166,132.48994543582174,0.6323086729810882
R. Poppiel / Dematte,75_25,Sand_gkg,602,202,137.0415015411966,0.6247643180958149
R. Poppiel / Dematte,87_13,Sand_gkg,698,106,149.87884624118016,0.5514343266749482
