cluster,your_mean_value,target,split,rmse,r2,n_train,n_test
1,116.24011060337826,Clay_gkg,67_33,88.77245700536159,0.585173470687861,529.0,275.0
2,595.4989285714286,Clay_gkg,67_33,88.77245700536159,0.585173470687861,529.0,275.0
3,345.9155427608582,Clay_gkg,67_33,88.77245700536159,0.585173470687861,529.0,275.0
4,412.8943089430894,Clay_gkg,67_33,88.77245700536159,0.585173470687861,529.0,275.0
1,539.0281662121819,Sand_gkg,67_33,130.30700016218697,0.6004505403223921,529.0,275.0
2,256.7447142857143,Sand_gkg,67_33,130.30700016218697,0.6004505403223921,529.0,275.0
3,208.35666069141539,Sand_gkg,67_33,130.30700016218697,0.6004505403223921,529.0,275.0
4,188.6328903654485,Sand_gkg,67_33,130.30700016218697,0.6004505403223921,529.0,275.0
1,15.523487777328807,OM_gkg,,,,,
2,145.277329961875,OM_gkg,,,,,
3,20.242240929815242,OM_gkg,,,,,
4,,OM_gkg,,,,,
1,67.70140156336385,CEC_Ph7_mmolkg,,,,,
2,,CEC_Ph7_mmolkg,,,,,
3,157.53540927694408,CEC_Ph7_mmolkg,,,,,
4,357.1532980293638,CEC_Ph7_mmolkg,,,,,
1,65.57806571937529,V_pct,,,,,
2,,V_pct,,,,,
3,78.93793910779642,V_pct,,,,,
4,225.35133338971718,V_pct,,,,,
